Paket::Funktion,Beschreibung
lm,"Berechnet eine Regression
sqrt,Zieht die Quadratwurzel
caret::postResample,Berechnet Gütekriterien für das Testsample
summary,Fasst zentrale Informationen zu einem Objekt zusammen
modelr::add_residuals,Erstellt eine Spalte mit Residuen
modelr::add_predictions,Erstellt eine Spalte mit den vorhergesagten Werten
levels,Zeigt oder ändert die Stufen eines Faktors
factor,Erstellt einen Faktor (nominalskalierte Variable)
coef,"Zeigt die Koeffizienten eines Objekts an."
step,Führt eine Schrittweise-Rückwärtsselektion durch
sample_frac,Sampelt einen Prozentsatz aus einem Datensatz
anti_join,Fügt Vereint nicht-gleiche Zeilen zweier Datensätze
